uid,username,followers,post,comments,created at,hasZhuYilong
1793920387,大炮学弟,120727,#重启之极海听雷# 哈哈哈哈胖爷你咋也啃上手了 ​​​,40,38分钟前,否
6575665211,朱一龙后援打投站,304931,#朱一龙[超话]##朱一龙吴邪# 👌#朱一龙重启之极海听雷#  包包们，记得删除toupiao，分享出去哦[中国赞] 与朱一龙并肩前行@朱一龙  ​ http://t.cn/A6yBBiIs ​,643,1小时前,是
6598534182,写牙阝,25556,#朱一龙重启之极海听雷#   寒叶飘逸，洒满我的脸。吾叔叛逆，伤透我的心。  朱一龙吴邪@朱一龙 ​,0,6分钟前,是
5113022164,猫少女的热剧匣子,7668929,#重启之极海听雷#  吴三省：我没你这样满嘴跑火车的儿子！！！[笑cry] ​,159,1小时前,否
6598534182,写牙阝,25556,#朱一龙重启之极海听雷#   寒叶飘逸，洒满我的脸。吾叔叛逆，伤透我的心。  朱一龙吴邪@朱一龙 ​,0,6分钟前,是
3711229445,剧乐甜甜,620258,#朱一龙重启之极海听雷# 今日份花絮更新辽→http://t.cn/A6y1re0L 吴邪@朱一龙 把皮佣公主从地宫带出来，走路扛着，睡觉守着，人不如皮佣公主系列[喵喵][哈哈]#重启官宣加更# ​,0,7分钟前,是
2208751821,龍Jin寶寶,95,我哥@朱一龙 就是打破我原则的存在！！！我以前从来不看这种题材的……现在是又追剧又买书的[允悲]#朱一龙重启之极海听雷# ​,0,7分钟前,是
7262465263,叶小渡的橘子猫猫,126,#朱一龙[超话]##朱一龙重启之极海听雷# 🌟#朱一龙吴邪#🌟🌟#重启之极海听雷# 🌟 『朱一龙吴邪‖重启之极海听雷』@朱一龙  听懂了，叫我晚上吃点好的，加个餐，谢谢[作揖] http://t.cn/A6ynUImq ​​​,2,7分钟前,是
6575665211,朱一龙后援打投站,304931,#朱一龙重启之极海听雷# [太阳]#朱一龙吴邪# [太阳]#重启之极海听雷#   今日重点： 1、带话题发原创，多讨论，平台热度也会关联v榜，大家超话里互捞！超话积分投了，别存着了！  2、剧的弹幕和评论分享别忘了互动  3、基础的数据不要落下，签到类举手之劳。贴吧和部落、db都去互动楼  4、哥哥微博看一 ​,32,24分钟前,是
6315208119,云霏心上只有居,5096,#朱一龙重启之极海听雷# 🍊#朱一龙吴邪#🍊#重启之极海听雷# 前方高能预警❗❗吴邪 与胖子 在录音机中意外发现三叔的声音！激动之余一位不知名的男性干尸竟......！[跪了]  看朱一龙演绎不一样的吴邪，看重启之极海听雷！每周三、周四晚八点🕗，在爱奇艺、优酷，诚邀你入局！@朱一龙   ​,0,8分钟前,是
5821809841,朱·墨桜,125616,#朱一龙[超话]#[憧憬] #朱一龙重启之极海听雷# 🤓 #朱一龙吴邪#   重启征程，不改初心。 一纸书信，一场动魄奇遇。 一片赤诚，一回热血相聚。  朱一龙  吴邪@朱一龙 ​ http://t.cn/A6yWg0Xd ​,0,8分钟前,是
1760372772,懿玖七,1213,小哥[喵喵]真是…干啥啥都行，乖巧第一名#重启之极海听雷# ​,0,8分钟前,否
6031756672,江南有柑橘_,5573,#朱一龙吴邪# ⚡ #朱一龙重启之极海听雷#⚡    真的是易惊吓体质哈哈哈哈哈哈哈 虽然糊我好像也看到了宝惊恐的表情哈哈哈哈哈吓到出画  朱一龙吴邪@朱一龙 ​,2,1小时前,是
1834112862,沸点娱乐,1399282,【朱一龙八连冠破9】 朱一龙凭《重启》吴邪一角连续8天电视剧演员榜第一，指数再创新高9.25[赞] 带动《重启之极海听雷》播放量连续八天第一，热度口碑爆棚，用作品和数据说话。 昨天更新的吴邪大战皮俑，朱一龙打戏太精彩了，想魂穿女皮俑。#羡慕女皮俑##朱一龙吴邪#@朱一龙 ​,1459,2小时前,是
5991289213,勋然su,3769,#朱一龙重启之极海听雷# [耶] #朱一龙吴邪# [耶]#重启之极海听雷#   🍊 #朱一龙2020并肩前行#        📣📣📣互捞群招新了🎉🎉🎉  我可以没头发，但小朱不可以没数据🎏  💞互捞模式：101模式多样化，六贴拼手速，四贴固定号，每日十贴101直接毕业[偷乐]小七残贴随便放（还可以指路） ​,1,10分钟前,是
5238705307,Fujoshi雅祝朱一龙0416生日快乐,645,#朱一龙吴邪# ⚡️#朱一龙重启之极海听雷#  ⚡ #重启之极海听雷#  ⚡ #朱一龙2020并肩前行#   朱一龙吴邪  @朱一龙   “我不怕死，只是离别，太痛苦了”  “我以为我走的时候，会没有遗憾，希望下辈  子，还能做兄弟。”  http://t.cn/A6yW0J9v ​​​,0,10分钟前,是
6283836651,v等风来v,203,我脑子有泡，本来想买重启专辑的，结果去开了个vip。开了vip也不能听我又去买了专辑，憨憨……纪念一下第一次买专辑[允悲][允悲][跪了][跪了]#重启之极海听雷##朱一龙# ​,0,10分钟前,是
6511178494,综艺插班生,6735450,#重启之极海听雷#看完睡不着觉系列，铁三角和皮俑打斗的场面好猛，吴邪太善良了，还去救刘丧，关键时刻还得靠小哥！#铁三角大战皮俑# ​,451,3小时前,否
2289828105,掌门我是去学炒火锅底料的稻荷,472,#膳魔师品牌代言人朱一龙# [兔子]#朱一龙代言膳魔师# [兔子]#朱一龙重启之极海听雷# [兔子]#朱一龙吴邪# [兔子]#朱一龙[超话]#  朱一龙粉丝膳魔师保鲜盒晒单  我好像没在首页看过有人晒这套新造型的绝美大海报[doge]所以我是首页第一个拥有的吗[兔子]  这次买了好多保鲜盒打算带饭和泡菜啥的，没有密封 ​,24,20小时前,是
6317659834,朱一龙QQ兴趣部落,29177,#吴邪大战皮俑# [憧憬] #重启官宣加更#  朱一龙的打戏是真的好，尤其是吴邪和铁三角大战皮佣这一段，让人看的真是热血沸腾。吴邪每一次挥刀出手都非常果断与精准，整个过程看下来如行云流水一般丝滑，几人之间的配合也是十分默契，你来我往之间击退一地皮佣，今晚更新内容看的落落直呼过瘾，太赞了！   ​,9,13小时前,是
5500353871,玉洁姐姐姐祝朱一龙0416生日快乐,128,#朱一龙重启之极海听雷# [羞嗒嗒]#朱一龙吴邪# 今晚可以看到吴邪突突突突了吗？我可太期待了!小三爷大胆地往前走呀！朱一龙重启之极海听雷吴邪朱一龙重启@朱一龙 [羞嗒嗒][羞嗒嗒][羞嗒嗒]朱一龙 ​,0,10分钟前,是
6036355256,鹤别空山晚,139,#重启之极海听雷##盗墓笔记#  突然好感慨上一次盗笔系列还是在18年夏天沙海的时候 时间过得好快 直到现在还是觉得沙海里的季晨饰演的黑瞎子和肖宇梁饰演的张起灵最有感觉！意难平！ 盗笔系列出了的作品每次吴邪的饰演者都很惊艳！！！ 不过后期真的会给吴邪和白昊天加感情戏吗 我的瓶邪！！！[泪] ​​,0,11分钟前,否
3212028235,朱家公子_,204,#朱一龙[超话]##朱一龙吴邪# [兔子]#朱一龙重启之极海听雷#  写尽千山落笔是你，望尽星辰美丽是你，书尽泛黄扉页是你，千山万水归处是你，铁马是你冰河也是你。 带上朱一龙吴邪朱一龙重启朱一龙重启之极海听雷的小尾巴。@朱一龙 ​,0,11分钟前,是
6317659834,朱一龙QQ兴趣部落,29177,#吴邪大战皮俑# [憧憬] #重启官宣加更#  朱一龙的打戏是真的好，尤其是吴邪和铁三角大战皮佣这一段，让人看的真是热血沸腾。吴邪每一次挥刀出手都非常果断与精准，整个过程看下来如行云流水一般丝滑，几人之间的配合也是十分默契，你来我往之间击退一地皮佣，今晚更新内容看的落落直呼过瘾，太赞了！   ​,9,13小时前,是
5500353871,玉洁姐姐姐祝朱一龙0416生日快乐,128,#朱一龙重启之极海听雷# [羞嗒嗒]#朱一龙吴邪# 今晚可以看到吴邪突突突突了吗？我可太期待了!小三爷大胆地往前走呀！朱一龙重启之极海听雷吴邪朱一龙重启@朱一龙 [羞嗒嗒][羞嗒嗒][羞嗒嗒]朱一龙 ​,0,10分钟前,是
6036355256,鹤别空山晚,139,#重启之极海听雷##盗墓笔记#  突然好感慨上一次盗笔系列还是在18年夏天沙海的时候 时间过得好快 直到现在还是觉得沙海里的季晨饰演的黑瞎子和肖宇梁饰演的张起灵最有感觉！意难平！ 盗笔系列出了的作品每次吴邪的饰演者都很惊艳！！！ 不过后期真的会给吴邪和白昊天加感情戏吗 我的瓶邪！！！[泪] ​​,0,11分钟前,否
